,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL230505C00050000,2023-05-03 19:06:04+00:00,50.0,117.45,116.7,118.3,-0.40000153,-0.33941582,5.0,2,5.0312537109374995,True,REGULAR,USD
1,AAPL230505C00060000,2023-05-03 19:06:44+00:00,60.0,110.0,106.7,108.3,1.0999985,1.0100996,2.0,12,4.296879628906249,True,REGULAR,USD
2,AAPL230505C00065000,2023-05-01 13:53:16+00:00,65.0,104.8,101.7,103.3,-0.44999695,-0.42755055,1.0,9,3.968750078125,True,REGULAR,USD
3,AAPL230505C00085000,2023-04-04 14:40:18+00:00,85.0,81.35,81.65,83.4,0.0,0.0,,1,3.0468773828125,True,REGULAR,USD
4,AAPL230505C00090000,2023-04-26 13:32:49+00:00,90.0,73.52,77.05,78.65,0.0,0.0,1.0,3,3.5488292529296874,True,REGULAR,USD
5,AAPL230505C00095000,2023-04-24 18:30:41+00:00,95.0,70.55,72.1,73.65,0.0,0.0,1.0,1,3.308595478515625,True,REGULAR,USD
6,AAPL230505C00100000,2023-05-03 19:58:15+00:00,100.0,67.45,66.75,68.4,-1.0800018,-1.5759548,1.0,50,2.5273474316406244,True,REGULAR,USD
7,AAPL230505C00105000,2023-04-28 13:41:20+00:00,105.0,63.42,61.45,63.3,0.0,0.0,5.0,13,3.1855489111328126,True,REGULAR,USD
8,AAPL230505C00110000,2023-04-28 19:05:28+00:00,110.0,60.27,56.45,58.4,1.3199997,2.239185,1.0,3,2.9863306591796874,True,REGULAR,USD
9,AAPL230505C00120000,2023-05-03 16:45:51+00:00,120.0,49.9,47.4,48.35,0.4300003,0.86921424,12.0,191,2.091801645507812,True,REGULAR,USD
10,AAPL230505C00125000,2023-05-02 19:24:21+00:00,125.0,44.14,42.0,43.0,0.0,0.0,2.0,18,1.3515657421874998,True,REGULAR,USD
11,AAPL230505C00130000,2023-05-01 13:47:58+00:00,130.0,39.25,37.1,37.75,-0.77000046,-1.924039,1.0,59,1.5546897265624997,True,REGULAR,USD
12,AAPL230505C00135000,2023-05-03 19:15:10+00:00,135.0,32.49,32.45,33.05,-0.45999908,-1.3960518,12.0,70,1.359378203125,True,REGULAR,USD
13,AAPL230505C00136000,2023-05-03 13:34:25+00:00,136.0,34.15,31.1,31.75,0.48000336,1.4256115,1.0,18,1.3203158984374999,True,REGULAR,USD
14,AAPL230505C00137000,2023-04-28 13:48:09+00:00,137.0,31.39,30.15,31.05,0.0,0.0,1.0,5,1.1328168359375002,True,REGULAR,USD
15,AAPL230505C00138000,2023-04-28 13:30:06+00:00,138.0,30.35,29.15,30.1,0.0,0.0,3.0,4,1.126957490234375,True,REGULAR,USD
16,AAPL230505C00139000,2023-05-02 15:27:55+00:00,139.0,29.07,28.3,29.1,0.0,0.0,2.0,6,1.1630901220703125,True,REGULAR,USD
17,AAPL230505C00140000,2023-05-03 16:33:06+00:00,140.0,29.85,27.35,27.75,0.6700001,2.2960935,15.0,209,0.9648441015625,True,REGULAR,USD
18,AAPL230505C00141000,2023-04-28 18:47:28+00:00,141.0,27.44,26.45,27.1,0.0,0.0,5.0,14,1.1455120849609375,True,REGULAR,USD
19,AAPL230505C00142000,2023-05-03 19:18:55+00:00,142.0,27.0,25.5,26.05,-0.059999466,-0.22172754,16.0,132,1.107426337890625,True,REGULAR,USD
20,AAPL230505C00143000,2023-05-03 19:02:08+00:00,143.0,27.23,24.5,24.8,1.3899994,5.379255,6.0,194,0.9726565234375,True,REGULAR,USD
21,AAPL230505C00144000,2023-05-03 16:55:07+00:00,144.0,25.8,23.5,23.75,0.9399986,3.781169,12.0,41,0.914063359375,True,REGULAR,USD
22,AAPL230505C00145000,2023-05-03 18:26:30+00:00,145.0,22.55,22.5,23.0,-1.6100006,-6.6639094,144.0,804,0.975586181640625,True,REGULAR,USD
23,AAPL230505C00146000,2023-05-03 19:18:51+00:00,146.0,23.17,21.15,22.05,0.7199993,3.2071238,22.0,202,0.82226740234375,True,REGULAR,USD
24,AAPL230505C00147000,2023-05-03 19:42:24+00:00,147.0,20.61,20.1,20.85,-1.4300003,-6.488205,8.0,233,0.6015664843750002,True,REGULAR,USD
25,AAPL230505C00148000,2023-05-03 19:48:49+00:00,148.0,19.43,19.5,20.0,-1.3400002,-6.4516134,41.0,251,0.8623060644531251,True,REGULAR,USD
26,AAPL230505C00149000,2023-05-03 19:48:49+00:00,149.0,18.59,18.55,19.1,-0.9599991,-4.9104815,26.0,75,0.866212275390625,True,REGULAR,USD
27,AAPL230505C00150000,2023-05-03 19:53:14+00:00,150.0,17.65,17.15,17.85,-1.2200012,-6.465295,466.0,1997,0.570316796875,True,REGULAR,USD
28,AAPL230505C00152500,2023-05-03 19:59:20+00:00,152.5,15.35,15.0,15.4,-1.3999996,-8.358207,263.0,1086,0.6640658593750002,True,REGULAR,USD
29,AAPL230505C00155000,2023-05-03 19:55:57+00:00,155.0,12.96,12.8,13.4,-0.8999996,-6.4935036,305.0,1340,0.7334011035156249,True,REGULAR,USD
30,AAPL230505C00157500,2023-05-03 19:59:53+00:00,157.5,10.63,10.55,11.05,-1.0500002,-8.989727,236.0,1101,0.6816438085937502,True,REGULAR,USD
31,AAPL230505C00160000,2023-05-03 19:59:53+00:00,160.0,8.5,8.4,8.75,-0.8999996,-9.574465,1995.0,4827,0.6289099609375001,True,REGULAR,USD
32,AAPL230505C00162500,2023-05-03 19:59:48+00:00,162.5,6.6,6.5,6.7,-0.71000004,-9.712723,1041.0,9340,0.602787175292969,True,REGULAR,USD
33,AAPL230505C00165000,2023-05-03 19:59:59+00:00,165.0,4.87,4.8,4.9,-0.6300001,-11.454547,3106.0,20484,0.5805706005859376,True,REGULAR,USD
34,AAPL230505C00167500,2023-05-03 19:59:59+00:00,167.5,3.45,3.4,3.5,-0.45000005,-11.538463,9098.0,19822,0.5737347314453125,False,REGULAR,USD
35,AAPL230505C00170000,2023-05-03 19:59:59+00:00,170.0,2.29,2.26,2.29,-0.30999994,-11.923076,31099.0,25017,0.5571333349609376,False,REGULAR,USD
36,AAPL230505C00172500,2023-05-03 19:59:59+00:00,172.5,1.38,1.38,1.42,-0.17999995,-11.538459,27638.0,15022,0.5424850439453126,False,REGULAR,USD
37,AAPL230505C00175000,2023-05-03 19:59:59+00:00,175.0,0.81,0.8,0.83,-0.060000002,-6.8965516,34588.0,44108,0.5336960693359375,False,REGULAR,USD
38,AAPL230505C00177500,2023-05-03 19:59:59+00:00,177.5,0.45,0.45,0.46,-0.02000001,-4.2553215,11386.0,13722,0.5307664111328125,False,REGULAR,USD
39,AAPL230505C00180000,2023-05-03 19:59:58+00:00,180.0,0.26,0.25,0.26,0.00999999,3.9999962,16762.0,23471,0.5361374511718751,False,REGULAR,USD
40,AAPL230505C00182500,2023-05-03 19:59:38+00:00,182.5,0.15,0.14,0.15,0.02000001,15.3846245,6564.0,11334,0.5468795312500001,False,REGULAR,USD
41,AAPL230505C00185000,2023-05-03 19:59:59+00:00,185.0,0.09,0.08,0.09,0.020000003,28.571432,7907.0,11112,0.56055126953125,False,REGULAR,USD
42,AAPL230505C00187500,2023-05-03 19:59:53+00:00,187.5,0.05,0.04,0.05,0.0,0.0,3372.0,2542,0.5664105859375,False,REGULAR,USD
43,AAPL230505C00190000,2023-05-03 19:59:48+00:00,190.0,0.03,0.02,0.03,0.0,0.0,3372.0,5173,0.57812921875,False,REGULAR,USD
44,AAPL230505C00192500,2023-05-03 19:58:09+00:00,192.5,0.02,0.01,0.02,0.01,100.0,366.0,2500,0.5937540625000001,False,REGULAR,USD
45,AAPL230505C00195000,2023-05-03 19:33:04+00:00,195.0,0.02,0.0,0.02,0.01,100.0,308.0,1084,0.6171913281250001,False,REGULAR,USD
46,AAPL230505C00197500,2023-05-03 19:32:43+00:00,197.5,0.01,0.0,0.02,0.0,0.0,204.0,300,0.6640658593750002,False,REGULAR,USD
47,AAPL230505C00200000,2023-05-03 19:38:50+00:00,200.0,0.02,0.0,0.02,0.01,100.0,46.0,1880,0.70312796875,False,REGULAR,USD
48,AAPL230505C00205000,2023-05-03 19:59:07+00:00,205.0,0.01,0.0,0.01,0.0,0.0,429.0,348,0.7500025,False,REGULAR,USD
49,AAPL230505C00210000,2023-05-03 15:48:02+00:00,210.0,0.01,0.0,0.01,0.0,0.0,1.0,24,0.8125018749999999,False,REGULAR,USD
