,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOGL230519C00002500,2023-05-01 15:47:08+00:00,2.5,6.38,5.8,6.5,0.0,0.0,7.0,6,4.45312943359375,True,REGULAR,USD
1,GOGL230519C00005000,2023-04-18 17:38:57+00:00,5.0,4.5,3.3,4.4,0.0,0.0,,1,2.7812530468750003,True,REGULAR,USD
2,GOGL230519C00007500,2023-05-03 13:43:13+00:00,7.5,1.15,1.0,1.15,0.049999952,4.54545,2.0,66,0.6562534375000001,True,REGULAR,USD
3,GOGL230519C00010000,2023-05-03 15:48:36+00:00,10.0,0.03,0.0,0.05,-0.07,-70.0,23.0,4063,0.500005,False,REGULAR,USD
4,GOGL230519C00012500,2023-04-03 14:30:46+00:00,12.5,0.06,0.0,0.05,0.0,0.0,2.0,28,0.9687503125,False,REGULAR,USD
5,GOGL230519C00015000,2023-04-20 13:30:00+00:00,15.0,0.06,0.0,0.05,0.0,0.0,,5,1.3125034374999998,False,REGULAR,USD
6,GOGL230616C00002500,2023-04-21 18:50:34+00:00,2.5,6.6,5.8,6.4,0.0,0.0,20.0,0,2.5312536718749996,True,REGULAR,USD
7,GOGL230616C00005000,2023-03-08 18:23:52+00:00,5.0,5.0,3.7,4.0,0.0,0.0,3.0,10,1.7109389453125,True,REGULAR,USD
8,GOGL230616C00007500,2023-05-02 13:30:58+00:00,7.5,1.35,1.1,1.2,0.0,0.0,5.0,48,0.5488326367187502,True,REGULAR,USD
9,GOGL230616C00010000,2023-05-03 18:41:25+00:00,10.0,0.08,0.05,0.1,-0.020000003,-20.000004,15.0,4134,0.4414118359375,False,REGULAR,USD
10,GOGL230616C00012500,2023-05-02 16:09:31+00:00,12.5,0.05,0.0,0.1,0.0,0.0,50.0,1213,0.6757844921875001,False,REGULAR,USD
11,GOGL230616C00015000,2023-03-28 19:17:41+00:00,15.0,0.05,0.0,0.05,0.0,0.0,1.0,69,0.804689453125,False,REGULAR,USD
12,GOGL230915C00005000,2023-01-23 15:53:29+00:00,5.0,4.5,4.7,5.3,0.0,0.0,,1,1.958984580078125,True,REGULAR,USD
13,GOGL230915C00007500,2023-05-03 16:31:51+00:00,7.5,1.33,1.15,1.55,-0.01999998,-1.48148,3.0,90,0.5195360546875,True,REGULAR,USD
14,GOGL230915C00010000,2023-05-02 16:38:51+00:00,10.0,0.27,0.1,0.4,-0.07999998,-22.857138,1.0,594,0.4414118359375,False,REGULAR,USD
15,GOGL230915C00012500,2023-05-03 15:32:55+00:00,12.5,0.09,0.05,0.2,-0.029999994,-24.999996,1.0,689,0.5449264257812501,False,REGULAR,USD
16,GOGL230915C00015000,2023-04-06 15:58:19+00:00,15.0,0.05,0.0,0.05,0.0,0.0,2.0,24,0.5195360546875,False,REGULAR,USD
17,GOGL230915C00017500,2023-02-23 15:38:22+00:00,17.5,0.1,0.0,0.1,0.0,0.0,1.0,5,0.6250037500000001,False,REGULAR,USD
18,GOGL231215C00010000,2023-05-01 18:01:29+00:00,10.0,0.51,0.45,0.75,-0.04000002,-7.272731,1.0,78,0.48242705078125003,False,REGULAR,USD
19,GOGL231215C00012500,2023-04-27 18:10:06+00:00,12.5,0.23,0.0,0.35,0.0,0.0,2.0,10,0.50586431640625,False,REGULAR,USD
20,GOGL240119C00002500,2023-05-03 15:07:06+00:00,2.5,6.0,5.6,7.4,-1.3000002,-17.808222,1.0,20,1.60547072265625,True,REGULAR,USD
21,GOGL240119C00005000,2023-04-25 17:53:07+00:00,5.0,3.9,3.0,3.6,0.0,0.0,1.0,70,0.5097705273437501,True,REGULAR,USD
22,GOGL240119C00007500,2023-05-02 14:31:39+00:00,7.5,1.56,1.05,1.95,0.0,0.0,1.0,781,0.5336960693359375,True,REGULAR,USD
23,GOGL240119C00010000,2023-05-03 17:46:27+00:00,10.0,0.6,0.4,0.8,0.050000012,9.090911,1.0,1378,0.4672904833984375,False,REGULAR,USD
24,GOGL240119C00012500,2023-05-03 18:55:47+00:00,12.5,0.25,0.2,0.4,0.0,0.0,7.0,912,0.49414568359375005,False,REGULAR,USD
25,GOGL240119C00015000,2023-05-03 13:30:00+00:00,15.0,0.1,0.05,0.25,0.020000003,25.000006,1.0,533,0.5380905566406251,False,REGULAR,USD
26,GOGL250117C00002500,2023-05-03 18:40:07+00:00,2.5,6.0,5.7,7.5,0.0,0.0,3.0,2,1.115238798828125,True,REGULAR,USD
27,GOGL250117C00005000,2023-05-03 19:13:20+00:00,5.0,3.8,3.1,4.4,0.0,0.0,10.0,376,0.6826203613281252,True,REGULAR,USD
28,GOGL250117C00007500,2023-05-02 13:47:50+00:00,7.5,1.85,1.2,2.15,0.0,0.0,1.0,102,0.39600213378906257,True,REGULAR,USD
29,GOGL250117C00010000,2023-05-02 14:27:40+00:00,10.0,0.9,0.5,0.95,0.0,0.0,5.0,159,0.336920693359375,False,REGULAR,USD
30,GOGL250117C00012500,2023-05-03 18:54:53+00:00,12.5,0.45,0.0,0.55,-0.050000012,-10.000002,5.0,180,0.3618227880859375,False,REGULAR,USD
31,GOGL250117C00015000,2023-05-02 14:21:31+00:00,15.0,0.35,0.05,0.45,0.0,0.0,3.0,255,0.41602146484374997,False,REGULAR,USD
32,GOGL250117C00017500,2023-03-20 18:26:36+00:00,17.5,0.35,0.0,0.7,0.0,0.0,5.0,26,0.5537154003906251,False,REGULAR,USD
33,GOGL250117C00020000,2023-03-23 14:30:22+00:00,20.0,0.4,0.0,1.55,0.0,0.0,,5,0.6293982373046876,False,REGULAR,USD
