,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META230505C00020000,2023-05-03 17:02:26+00:00,20.0,219.75,216.7,217.4,-0.8999939,-0.40788305,1.0,6,9.0625043359375,True,REGULAR,USD
1,META230505C00030000,2023-05-03 17:26:20+00:00,30.0,207.75,206.7,207.4,-1.199997,-0.5742986,1.0,4,7.562500546875,True,REGULAR,USD
2,META230505C00040000,2023-05-03 17:05:27+00:00,40.0,197.4,196.7,197.4,-2.4000092,-1.2012058,61.0,2,6.500001875000001,True,REGULAR,USD
3,META230505C00050000,2023-05-02 15:03:48+00:00,50.0,189.66,186.7,187.4,0.0,0.0,2.0,0,5.687502890625,True,REGULAR,USD
4,META230505C00060000,2023-05-02 15:37:59+00:00,60.0,180.7,176.7,177.4,0.0,0.0,1.0,1,5.062503671875,True,REGULAR,USD
5,META230505C00070000,2023-04-21 16:08:21+00:00,70.0,142.4,166.7,167.4,0.0,0.0,7.0,7,4.500004375,True,REGULAR,USD
6,META230505C00090000,2023-04-27 15:55:28+00:00,90.0,149.15,146.75,147.45,0.0,0.0,,1,4.062504921875,True,REGULAR,USD
7,META230505C00100000,2023-05-03 17:04:02+00:00,100.0,138.65,136.75,137.45,-4.810013,-3.3528595,16.0,9,3.6406258984375004,True,REGULAR,USD
8,META230505C00110000,2023-05-03 16:35:16+00:00,110.0,131.4,126.75,127.45,1.1499939,0.8829128,501.0,519,3.2656268359375,True,REGULAR,USD
9,META230505C00115000,2023-05-01 19:54:50+00:00,115.0,128.8,121.75,122.45,0.0,0.0,2.0,6,3.0859397851562496,True,REGULAR,USD
10,META230505C00120000,2023-05-03 19:50:30+00:00,120.0,116.72,116.75,117.45,-1.2900009,-1.0931284,15.0,9,2.9140652148437503,True,REGULAR,USD
11,META230505C00125000,2023-05-01 13:59:17+00:00,125.0,114.1,111.75,112.45,0.0,0.0,6.0,18,2.750003125,True,REGULAR,USD
12,META230505C00130000,2023-05-03 17:23:38+00:00,130.0,107.15,106.75,107.45,-3.3799973,-3.0579908,11.0,35,2.593753515625,True,REGULAR,USD
13,META230505C00135000,2023-05-03 13:49:29+00:00,135.0,104.27,101.75,102.45,-2.880005,-2.6878252,3.0,61,2.44531638671875,True,REGULAR,USD
14,META230505C00140000,2023-05-01 19:54:50+00:00,140.0,103.8,96.75,97.45,0.0,0.0,1.0,51,2.2968792578125,True,REGULAR,USD
15,META230505C00145000,2023-05-03 17:04:51+00:00,145.0,93.1,91.75,92.45,-1.5100021,-1.596028,8.0,11,2.156254609375,True,REGULAR,USD
16,META230505C00146000,2023-05-03 17:04:54+00:00,146.0,91.8,90.75,91.45,24.210007,35.81892,2.0,3,2.1328171679687498,True,REGULAR,USD
17,META230505C00147000,2023-05-01 19:54:50+00:00,147.0,96.8,89.75,90.45,0.0,0.0,1.0,2,2.1015672460937496,True,REGULAR,USD
18,META230505C00148000,2023-04-27 14:00:25+00:00,148.0,90.83,88.75,89.45,0.0,0.0,2.0,2,2.0781298046874994,True,REGULAR,USD
19,META230505C00149000,2023-05-02 19:26:37+00:00,149.0,90.93,87.75,88.45,0.0,0.0,1.0,19,2.0468798828125,True,REGULAR,USD
20,META230505C00150000,2023-05-03 13:35:34+00:00,150.0,90.26,86.75,87.45,0.3100052,0.3446417,1.0,176,2.02344244140625,True,REGULAR,USD
21,META230505C00152500,2023-04-27 13:59:34+00:00,152.5,85.8,84.25,84.95,-0.29999542,-0.34842676,1.0,3,1.953125234375,True,REGULAR,USD
22,META230505C00155000,2023-05-03 17:01:36+00:00,155.0,84.8,81.75,82.45,0.040000916,0.04719315,2.0,39,1.890625546875,True,REGULAR,USD
23,META230505C00157500,2023-05-02 19:56:22+00:00,157.5,82.14,79.25,79.95,0.0,0.0,5.0,15,1.82421962890625,True,REGULAR,USD
24,META230505C00160000,2023-05-03 14:28:16+00:00,160.0,80.16,76.75,77.45,0.4600067,0.5771728,3.0,95,1.76171994140625,True,REGULAR,USD
25,META230505C00162500,2023-05-03 17:04:02+00:00,162.5,76.15,74.25,74.95,-4.5499954,-5.6381607,1.0,27,1.6953140234375002,True,REGULAR,USD
26,META230505C00165000,2023-05-01 14:01:28+00:00,165.0,73.14,71.75,72.45,0.0,0.0,1.0,151,1.6328143359374998,True,REGULAR,USD
27,META230505C00167500,2023-04-28 18:33:45+00:00,167.5,72.3,69.25,69.95,0.0,0.0,6.0,37,1.57422087890625,True,REGULAR,USD
28,META230505C00170000,2023-05-03 17:04:18+00:00,170.0,67.35,66.75,67.45,-1.9000015,-2.7436845,4.0,127,1.5156274218749999,True,REGULAR,USD
