,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META230505P00020000,2023-04-27 19:26:52+00:00,20.0,0.01,0.0,0.01,0.0,0.0,,30.0,8.125004921875,False,REGULAR,USD
1,META230505P00070000,2023-04-10 15:40:34+00:00,70.0,0.02,0.0,0.01,0.0,0.0,20.0,22.0,4.000005,False,REGULAR,USD
2,META230505P00080000,2023-03-31 15:22:03+00:00,80.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,3.6250009375000003,False,REGULAR,USD
3,META230505P00090000,2023-04-24 15:48:40+00:00,90.0,0.01,0.0,0.01,0.0,0.0,50.0,63.0,3.2500018749999997,False,REGULAR,USD
4,META230505P00100000,2023-04-27 13:30:09+00:00,100.0,0.01,0.0,0.01,0.0,0.0,8.0,37.0,2.8750028125,False,REGULAR,USD
5,META230505P00110000,2023-04-27 13:31:37+00:00,110.0,0.01,0.0,0.01,0.0,0.0,67.0,186.0,2.56250359375,False,REGULAR,USD
6,META230505P00115000,2023-05-01 13:36:43+00:00,115.0,0.01,0.0,0.01,0.0,0.0,1.0,351.0,2.43750390625,False,REGULAR,USD
7,META230505P00120000,2023-04-27 16:54:49+00:00,120.0,0.01,0.0,0.01,0.0,0.0,6.0,179.0,2.3125042187499996,False,REGULAR,USD
8,META230505P00125000,2023-04-27 16:54:44+00:00,125.0,0.01,0.0,0.01,0.0,0.0,10.0,230.0,2.1875045312499997,False,REGULAR,USD
9,META230505P00130000,2023-04-27 15:14:14+00:00,130.0,0.01,0.0,0.01,0.0,0.0,173.0,255.0,2.0625048437499998,False,REGULAR,USD
10,META230505P00135000,2023-04-27 16:54:17+00:00,135.0,0.01,0.0,0.01,0.0,0.0,316.0,880.0,1.9375003125,False,REGULAR,USD
11,META230505P00138000,2023-04-26 19:57:46+00:00,138.0,0.08,0.0,0.01,0.0,0.0,,194.0,1.8437507812499998,False,REGULAR,USD
12,META230505P00139000,2023-04-27 13:30:08+00:00,139.0,0.11,0.0,0.01,0.0,0.0,1.0,68.0,1.8125009374999999,False,REGULAR,USD
13,META230505P00140000,2023-04-27 14:28:00+00:00,140.0,0.01,0.0,0.01,0.0,0.0,20.0,347.0,1.8125009374999999,False,REGULAR,USD
14,META230505P00141000,2023-05-03 17:03:58+00:00,141.0,0.01,0.0,0.01,0.0,0.0,1.0,63.0,1.75000125,False,REGULAR,USD
15,META230505P00142000,2023-04-26 19:56:35+00:00,142.0,0.13,0.0,0.01,0.0,0.0,,23.0,1.75000125,False,REGULAR,USD
16,META230505P00143000,2023-04-26 19:59:56+00:00,143.0,0.16,0.0,0.01,0.0,0.0,54.0,49.0,1.75000125,False,REGULAR,USD
17,META230505P00144000,2023-04-26 19:54:04+00:00,144.0,0.14,0.0,0.01,0.0,0.0,,55.0,1.6875015625,False,REGULAR,USD
18,META230505P00145000,2023-05-03 14:00:18+00:00,145.0,0.01,0.0,0.02,0.0,0.0,1.0,318.0,1.78125109375,False,REGULAR,USD
19,META230505P00146000,2023-04-27 13:30:07+00:00,146.0,0.11,0.0,0.02,0.0,0.0,1.0,4.0,1.75000125,False,REGULAR,USD
20,META230505P00147000,2023-04-26 19:52:06+00:00,147.0,0.18,0.0,0.02,0.0,0.0,9.0,10.0,1.75000125,False,REGULAR,USD
21,META230505P00149000,2023-04-27 13:43:56+00:00,149.0,0.02,0.0,0.02,0.0,0.0,62.0,57.0,1.6875015625,False,REGULAR,USD
22,META230505P00150000,2023-05-02 14:57:15+00:00,150.0,0.01,0.0,0.01,0.0,0.0,1.0,853.0,1.5625021874999998,False,REGULAR,USD
23,META230505P00152500,2023-05-01 13:52:50+00:00,152.5,0.01,0.0,0.01,0.0,0.0,1.0,85.0,1.5000025,False,REGULAR,USD
24,META230505P00155000,2023-05-01 13:52:51+00:00,155.0,0.01,0.0,0.01,0.0,0.0,1.0,312.0,1.46875265625,False,REGULAR,USD
25,META230505P00157500,2023-05-03 16:46:17+00:00,157.5,0.01,0.0,0.01,0.0,0.0,1.0,53.0,1.4375028125,False,REGULAR,USD
26,META230505P00160000,2023-05-02 18:49:29+00:00,160.0,0.01,0.0,0.01,0.0,0.0,28.0,1336.0,1.3750031249999999,False,REGULAR,USD
27,META230505P00162500,2023-04-28 16:15:44+00:00,162.5,0.01,0.0,0.01,0.0,0.0,15.0,879.0,1.3125034374999998,False,REGULAR,USD
28,META230505P00165000,2023-05-03 17:44:00+00:00,165.0,0.01,0.0,0.01,0.0,0.0,32.0,3825.0,1.2500037499999999,False,REGULAR,USD
29,META230505P00167500,2023-05-03 17:27:49+00:00,167.5,0.01,0.0,0.01,0.0,0.0,3.0,321.0,1.21875390625,False,REGULAR,USD
30,META230505P00170000,2023-05-03 16:55:03+00:00,170.0,0.01,0.0,0.01,0.0,0.0,3.0,1755.0,1.15625421875,False,REGULAR,USD
31,META230505P00172500,2023-04-27 19:43:10+00:00,172.5,0.01,0.0,0.01,-0.01,-50.0,1.0,424.0,1.125004375,False,REGULAR,USD
32,META230505P00175000,2023-05-03 17:33:41+00:00,175.0,0.01,0.0,0.01,0.0,0.0,9.0,2926.0,1.0625046875000002,False,REGULAR,USD
33,META230505P00177500,2023-05-02 16:56:05+00:00,177.5,0.01,0.0,0.01,0.0,0.0,4.0,1040.0,1.0312548437500002,False,REGULAR,USD
34,META230505P00180000,2023-05-03 19:40:44+00:00,180.0,0.01,0.0,0.01,0.0,0.0,243.0,4469.0,0.9687503125,False,REGULAR,USD
35,META230505P00182500,2023-05-03 19:29:06+00:00,182.5,0.01,0.0,0.01,0.0,0.0,23.0,563.0,0.937500625,False,REGULAR,USD
36,META230505P00185000,2023-05-03 17:08:44+00:00,185.0,0.01,0.0,0.01,0.0,0.0,7.0,2984.0,0.87500125,False,REGULAR,USD
37,META230505P00187500,2023-05-03 19:29:06+00:00,187.5,0.01,0.0,0.01,0.0,0.0,20.0,668.0,0.8437515624999999,False,REGULAR,USD
38,META230505P00190000,2023-05-03 19:40:19+00:00,190.0,0.01,0.0,0.01,0.0,0.0,135.0,1522.0,0.8125018749999999,False,REGULAR,USD
39,META230505P00192500,2023-05-03 19:40:05+00:00,192.5,0.01,0.0,0.01,0.0,0.0,123.0,505.0,0.7500025,False,REGULAR,USD
40,META230505P00195000,2023-05-03 18:13:28+00:00,195.0,0.01,0.0,0.02,0.0,0.0,15.0,2332.0,0.7656273437500001,False,REGULAR,USD
41,META230505P00197500,2023-05-03 19:03:27+00:00,197.5,0.01,0.0,0.02,0.0,0.0,337.0,1523.0,0.7187528125,False,REGULAR,USD
42,META230505P00200000,2023-05-03 19:21:29+00:00,200.0,0.01,0.0,0.02,0.0,0.0,1160.0,4587.0,0.6718782812500002,False,REGULAR,USD
43,META230505P00202500,2023-05-03 19:33:18+00:00,202.5,0.02,0.0,0.02,0.01,100.0,257.0,1935.0,0.6250037500000001,False,REGULAR,USD
44,META230505P00205000,2023-05-03 19:53:57+00:00,205.0,0.01,0.01,0.02,-0.01,-50.0,663.0,2067.0,0.6015664843750002,False,REGULAR,USD
45,META230505P00207500,2023-05-03 19:50:44+00:00,207.5,0.02,0.02,0.03,0.0,0.0,211.0,1198.0,0.5898478515625001,False,REGULAR,USD
46,META230505P00210000,2023-05-03 19:57:36+00:00,210.0,0.03,0.02,0.03,0.01,50.0,2123.0,2129.0,0.5429733203125001,False,REGULAR,USD
47,META230505P00212500,2023-05-03 19:56:22+00:00,212.5,0.03,0.02,0.03,0.0,0.0,1078.0,1321.0,0.507817421875,False,REGULAR,USD
48,META230505P00215000,2023-05-03 19:58:40+00:00,215.0,0.03,0.04,0.05,-0.01,-25.0,2806.0,2390.0,0.49023947265625006,False,REGULAR,USD
49,META230505P00217500,2023-05-03 19:59:54+00:00,217.5,0.05,0.04,0.07,-0.009999998,-16.666664,2160.0,1615.0,0.46289599609375004,False,REGULAR,USD
50,META230505P00220000,2023-05-03 19:59:28+00:00,220.0,0.1,0.09,0.11,0.009999998,11.111108,7262.0,3859.0,0.44043528320312497,False,REGULAR,USD
51,META230505P00222500,2023-05-03 19:59:49+00:00,222.5,0.15,0.12,0.16,0.0,0.0,3313.0,2310.0,0.41211525390625,False,REGULAR,USD
52,META230505P00225000,2023-05-03 19:59:58+00:00,225.0,0.22,0.22,0.24,-0.019999996,-8.333332,12078.0,3062.0,0.38477177734374995,False,REGULAR,USD
53,META230505P00227500,2023-05-03 19:59:53+00:00,227.5,0.4,0.36,0.45,0.0,0.0,8140.0,2235.0,0.37842418457031246,False,REGULAR,USD
54,META230505P00230000,2023-05-03 19:59:59+00:00,230.0,0.69,0.67,0.7,0.060000002,9.523809,42500.0,5328.0,0.3537662280273437,False,REGULAR,USD
55,META230505P00232500,2023-05-03 19:59:59+00:00,232.5,1.13,1.13,1.22,0.100000024,9.70874,17717.0,2789.0,0.34717449707031245,False,REGULAR,USD
56,META230505P00235000,2023-05-03 19:59:58+00:00,235.0,1.85,1.85,1.96,0.22000003,13.496934,40323.0,6881.0,0.33521172607421873,False,REGULAR,USD
