,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVS230519C00082500,2023-04-21 14:05:33+00:00,82.5,17.48,19.7,24.5,0.0,0.0,1.0,105,0.5918009570312501,True,REGULAR,USD
1,NVS230519C00085000,2023-04-21 19:51:15+00:00,85.0,18.0,17.2,22.0,0.0,0.0,4.0,91,0.5273484765625001,True,REGULAR,USD
2,NVS230519C00087500,2023-04-25 13:31:08+00:00,87.5,18.0,16.6,17.4,0.0,0.0,5.0,69,0.5883830224609375,True,REGULAR,USD
3,NVS230519C00090000,2023-05-01 15:58:57+00:00,90.0,13.5,12.2,17.0,0.0,0.0,1.0,62,0.9250495776367188,True,REGULAR,USD
4,NVS230519C00092500,2023-05-02 18:51:12+00:00,92.5,11.2,10.0,14.8,0.0,0.0,16.0,137,0.8664564135742188,True,REGULAR,USD
5,NVS230519C00095000,2023-05-02 18:36:27+00:00,95.0,8.6,7.7,12.5,0.0,0.0,16.0,278,0.7875997802734375,True,REGULAR,USD
6,NVS230519C00097500,2023-05-02 18:43:08+00:00,97.5,6.3,5.0,9.9,0.0,0.0,16.0,71,0.6645541357421877,True,REGULAR,USD
7,NVS230519C00100000,2023-05-03 19:03:37+00:00,100.0,5.38,3.9,6.9,1.3800001,34.500004,1.0,4409,0.4904836108398438,True,REGULAR,USD
8,NVS230519C00105000,2023-05-03 17:38:00+00:00,105.0,1.35,1.1,1.35,0.45000005,50.000008,59.0,2786,0.17847501220703127,False,REGULAR,USD
9,NVS230519C00110000,2023-05-03 17:28:11+00:00,110.0,0.25,0.05,0.3,0.049999997,24.999998,3.0,544,0.20850400878906244,False,REGULAR,USD
10,NVS230519C00115000,2023-04-28 16:47:07+00:00,115.0,0.05,0.0,4.6,0.0,0.0,1.0,1,0.657229990234375,False,REGULAR,USD
11,NVS230616C00075000,2023-04-18 15:40:33+00:00,75.0,23.51,27.7,32.5,0.0,0.0,,0,0.6479527392578125,True,REGULAR,USD
12,NVS230616C00077500,2023-04-18 15:40:33+00:00,77.5,20.98,25.2,30.0,0.0,0.0,,0,0.5961954443359375,True,REGULAR,USD
13,NVS230616C00080000,2023-04-26 16:47:34+00:00,80.0,23.57,22.5,25.5,0.0,0.0,1.0,2,0.6189002954101563,True,REGULAR,USD
14,NVS230616C00082500,2023-05-02 17:21:30+00:00,82.5,21.7,20.2,25.0,0.0,0.0,432.0,434,0.8160418786621093,True,REGULAR,USD
15,NVS230616C00085000,2023-04-21 15:59:13+00:00,85.0,15.48,18.7,22.5,0.0,0.0,1.0,27,0.52539537109375,True,REGULAR,USD
16,NVS230616C00087500,2023-04-11 19:42:29+00:00,87.5,10.8,15.3,20.0,0.0,0.0,4.0,149,0.6823762231445314,True,REGULAR,USD
17,NVS230616C00090000,2023-04-28 15:02:50+00:00,90.0,13.27,13.0,17.8,0.0,0.0,1.0,50,0.6442906665039063,True,REGULAR,USD
18,NVS230616C00092500,2023-04-20 16:15:45+00:00,92.5,7.2,10.5,15.3,0.0,0.0,3.0,719,0.5767864587402343,True,REGULAR,USD
19,NVS230616C00095000,2023-04-28 14:38:47+00:00,95.0,9.1,9.2,12.6,0.0,0.0,3.0,1009,0.4924367163085938,True,REGULAR,USD
20,NVS230616C00097500,2023-05-03 13:35:29+00:00,97.5,7.8,7.4,9.0,-1.1999998,-13.333331,1.0,224,0.3350896569824219,True,REGULAR,USD
21,NVS230616C00100000,2023-05-03 19:57:41+00:00,100.0,6.1,5.4,8.0,2.1,52.499996,7.0,98,0.383795224609375,True,REGULAR,USD
22,NVS230616C00105000,2023-05-03 19:56:54+00:00,105.0,2.7,2.45,2.7,0.6500001,31.707323,19.0,115,0.20227848510742186,False,REGULAR,USD
23,NVS230616C00110000,2023-04-28 19:32:21+00:00,110.0,0.47,0.5,1.0,0.0,0.0,4.0,29,0.1992267578125,False,REGULAR,USD
24,NVS230616C00115000,2023-04-27 13:30:07+00:00,115.0,0.3,0.1,0.25,0.0,0.0,1.0,50,0.1909260595703125,False,REGULAR,USD
25,NVS230721C00042500,2023-04-03 15:33:32+00:00,42.5,50.51,60.1,64.7,0.0,0.0,1.0,1,1.0605515722656251,True,REGULAR,USD
26,NVS230721C00077500,2023-03-23 16:08:25+00:00,77.5,7.9,21.5,26.4,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
27,NVS230721C00080000,2023-03-23 15:02:50+00:00,80.0,5.7,19.0,23.9,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
28,NVS230721C00082500,2023-03-20 16:09:20+00:00,82.5,4.5,14.7,19.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
29,NVS230721C00085000,2023-04-26 15:50:59+00:00,85.0,19.45,18.2,23.0,0.0,0.0,10.0,3114,0.5998575170898439,True,REGULAR,USD
30,NVS230721C00087500,2023-03-31 15:51:50+00:00,87.5,7.2,14.0,18.7,0.0,0.0,50.0,1794,0.40869731933593745,True,REGULAR,USD
31,NVS230721C00090000,2023-04-21 19:14:32+00:00,90.0,12.0,13.8,18.5,0.0,0.0,11.0,1085,0.5305222729492188,True,REGULAR,USD
32,NVS230721C00092500,2023-04-27 14:27:59+00:00,92.5,10.6,12.8,15.5,0.0,0.0,2.0,5852,0.44556218505859374,True,REGULAR,USD
33,NVS230721C00095000,2023-05-03 16:41:35+00:00,95.0,11.3,10.7,12.2,1.5,15.306123,2.0,2951,0.3438786315917969,True,REGULAR,USD
34,NVS230721C00097500,2023-04-25 14:02:25+00:00,97.5,9.28,8.5,10.3,0.0,0.0,1.0,1732,0.32996275512695306,True,REGULAR,USD
35,NVS230721C00100000,2023-05-03 15:47:33+00:00,100.0,6.9,6.9,7.3,0.5999999,9.523808,2.0,859,0.24872577453613282,True,REGULAR,USD
36,NVS230721C00105000,2023-05-03 19:03:37+00:00,105.0,3.63,3.5,3.8,0.83000016,29.642862,6.0,747,0.20801573242187496,False,REGULAR,USD
37,NVS230721C00110000,2023-05-03 15:55:22+00:00,110.0,1.5,1.35,1.6,0.20000005,15.384619,12.0,117,0.18665364135742188,False,REGULAR,USD
38,NVS230721C00115000,2023-04-27 18:25:46+00:00,115.0,0.3,0.4,0.75,0.0,0.0,4.0,15,0.1948322705078125,False,REGULAR,USD
39,NVS230721C00120000,2023-04-28 14:06:11+00:00,120.0,0.13,0.05,0.6,0.0,0.0,1.0,27,0.23413851806640623,False,REGULAR,USD
40,NVS231020C00082500,2023-04-12 17:46:06+00:00,82.5,17.0,22.2,27.0,0.0,0.0,3.0,53,0.523320196533203,True,REGULAR,USD
41,NVS231020C00085000,2023-05-02 14:14:35+00:00,85.0,20.6,19.8,24.5,0.0,0.0,10.0,35,0.4842580871582032,True,REGULAR,USD
42,NVS231020C00087500,2023-04-27 17:22:00+00:00,87.5,17.2,18.0,22.5,0.0,0.0,5.0,331,0.46851117431640626,True,REGULAR,USD
43,NVS231020C00090000,2023-04-21 15:29:49+00:00,90.0,13.3,15.9,20.0,0.0,0.0,8.0,164,0.4293880303955079,True,REGULAR,USD
44,NVS231020C00092500,2023-05-02 14:44:47+00:00,92.5,14.3,13.0,16.3,0.0,0.0,35.0,92,0.33960621337890623,True,REGULAR,USD
45,NVS231020C00095000,2023-04-21 13:51:50+00:00,95.0,9.68,11.2,16.0,0.0,0.0,2.0,286,0.391058335571289,True,REGULAR,USD
46,NVS231020C00097500,2023-04-25 14:56:27+00:00,97.5,11.5,11.0,12.9,0.0,0.0,50.0,115,0.327155166015625,True,REGULAR,USD
47,NVS231020C00100000,2023-05-03 17:51:54+00:00,100.0,9.53,9.0,10.2,1.9299998,25.394735,1.0,351,0.2788158056640625,True,REGULAR,USD
48,NVS231020C00105000,2023-05-03 17:27:57+00:00,105.0,6.2,5.7,6.9,0.14999962,2.4793324,10.0,289,0.25098405273437496,False,REGULAR,USD
49,NVS231020C00110000,2023-05-03 14:25:26+00:00,110.0,3.6,1.3,4.2,0.39999986,12.499995,2.0,104,0.2258988543701172,False,REGULAR,USD
50,NVS231020C00115000,2023-05-03 15:35:57+00:00,115.0,1.9,1.0,2.55,0.38,25.0,17.0,169,0.21759815612792968,False,REGULAR,USD
51,NVS231020C00120000,2023-04-27 19:52:23+00:00,120.0,0.8,0.55,1.45,0.0,0.0,6.0,16,0.21106745971679686,False,REGULAR,USD
52,NVS231020C00125000,2023-03-28 13:30:04+00:00,125.0,0.2,0.0,0.0,0.0,0.0,,2,0.062509375,False,REGULAR,USD
