,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVS230519P00070000,2023-04-11 13:30:06+00:00,70.0,0.1,0.0,0.3,0.0,0.0,1.0,11,0.93164130859375,False,REGULAR,USD
1,NVS230519P00075000,2023-03-24 13:39:41+00:00,75.0,0.4,0.0,4.8,0.0,0.0,105.0,106,1.5302757861328122,False,REGULAR,USD
2,NVS230519P00077500,2023-03-20 16:29:20+00:00,77.5,0.85,0.0,1.5,0.0,0.0,,103,1.0048877880859375,False,REGULAR,USD
3,NVS230519P00080000,2023-04-21 18:49:23+00:00,80.0,0.05,0.0,4.8,0.0,0.0,1.0,48,1.3139682739257812,False,REGULAR,USD
4,NVS230519P00082500,2023-04-24 13:32:35+00:00,82.5,0.03,0.0,4.8,0.0,0.0,1.0,240,1.208744190673828,False,REGULAR,USD
5,NVS230519P00085000,2023-04-25 14:00:01+00:00,85.0,0.05,0.0,0.5,0.0,0.0,2.0,13,0.5820354296875,False,REGULAR,USD
6,NVS230519P00087500,2023-04-26 14:02:30+00:00,87.5,0.05,0.0,0.75,0.0,0.0,1.0,862,0.5634809277343751,False,REGULAR,USD
7,NVS230519P00090000,2023-04-24 14:33:57+00:00,90.0,0.15,0.0,0.95,0.0,0.0,5.0,40,0.5224657128906249,False,REGULAR,USD
8,NVS230519P00092500,2023-05-02 18:42:35+00:00,92.5,0.15,0.0,0.45,0.0,0.0,47.0,49,0.4419001123046875,False,REGULAR,USD
9,NVS230519P00095000,2023-05-03 19:45:39+00:00,95.0,0.2,0.0,0.55,0.010000005,5.2631607,10.0,481,0.39111937011718745,False,REGULAR,USD
10,NVS230519P00097500,2023-05-02 18:43:13+00:00,97.5,0.3,0.0,1.6,0.0,0.0,46.0,467,0.48242705078125003,False,REGULAR,USD
11,NVS230519P00100000,2023-05-03 17:36:58+00:00,100.0,0.35,0.2,0.5,-0.20000002,-36.363636,4.0,765,0.22461712890624996,False,REGULAR,USD
12,NVS230519P00105000,2023-05-03 18:23:22+00:00,105.0,1.5,1.5,1.65,-0.95000005,-38.775513,39.0,472,0.1506432592773438,True,REGULAR,USD
13,NVS230519P00110000,2023-04-27 13:41:41+00:00,110.0,7.9,3.0,7.5,0.0,0.0,4.0,1,0.4497125341796875,True,REGULAR,USD
14,NVS230616P00070000,2023-03-10 19:26:14+00:00,70.0,0.35,0.0,4.8,0.0,0.0,,1,1.0800827246093752,False,REGULAR,USD
15,NVS230616P00080000,2023-04-05 19:08:36+00:00,80.0,0.21,0.0,4.8,0.0,0.0,1.0,82,0.807619111328125,False,REGULAR,USD
16,NVS230616P00082500,2023-05-02 17:21:30+00:00,82.5,0.6,0.0,0.6,0.0,0.0,432.0,575,0.48560084716796875,False,REGULAR,USD
17,NVS230616P00085000,2023-04-24 16:04:30+00:00,85.0,0.25,0.05,2.5,0.0,0.0,3.0,187,0.5427291821289064,False,REGULAR,USD
