,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA230505C00020000,2023-05-02 18:55:22+00:00,20.0,140.3,139.65,141.3,0.0,0.0,2.0,7,12.355471027832035,True,REGULAR,USD
1,TSLA230505C00030000,2023-05-01 14:14:39+00:00,30.0,132.5,129.65,131.05,0.0,0.0,1.0,3,9.183598010253906,True,REGULAR,USD
2,TSLA230505C00040000,2023-05-03 14:18:10+00:00,40.0,124.3,120.05,121.35,1.6200027,1.3205109,1.0,2,6.1562523046874995,True,REGULAR,USD
3,TSLA230505C00050000,2023-04-25 15:05:16+00:00,50.0,113.19,109.7,111.3,0.0,0.0,81.0,82,6.9687512890625,True,REGULAR,USD
4,TSLA230505C00060000,2023-05-02 14:30:37+00:00,60.0,104.1,99.7,101.1,0.0,0.0,1.0,7,5.609377988281249,True,REGULAR,USD
5,TSLA230505C00070000,2023-05-02 13:31:56+00:00,70.0,93.0,89.7,91.1,0.0,0.0,1.0,4,4.800785249023436,True,REGULAR,USD
6,TSLA230505C00080000,2023-04-28 18:46:44+00:00,80.0,84.3,79.7,81.2,0.0,0.0,1.0,5,4.23437970703125,True,REGULAR,USD
7,TSLA230505C00085000,2023-04-27 16:48:39+00:00,85.0,72.66,74.7,76.15,0.0,0.0,,10,3.8457035107421875,True,REGULAR,USD
8,TSLA230505C00090000,2023-05-03 13:34:42+00:00,90.0,71.74,69.7,71.1,-4.2400055,-5.580423,3.0,56,3.480470048828125,True,REGULAR,USD
9,TSLA230505C00095000,2023-05-03 18:09:11+00:00,95.0,68.65,64.7,66.05,6.050003,9.664541,2.0,25,3.13281466796875,True,REGULAR,USD
10,TSLA230505C00100000,2023-05-03 19:41:44+00:00,100.0,60.6,59.7,61.05,0.8999977,1.5075338,22.0,126,2.8652372119140628,True,REGULAR,USD
11,TSLA230505C00105000,2023-05-02 19:57:49+00:00,105.0,55.6,55.3,56.05,0.0,0.0,50.0,29,1.9609376953125,True,REGULAR,USD
