,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA230505P00020000,2023-05-02 19:46:35+00:00,20.0,0.01,0.0,0.01,0.0,0.0,3.0,762.0,7.00000125,False,REGULAR,USD
1,TSLA230505P00030000,2023-04-24 17:14:24+00:00,30.0,0.01,0.0,0.01,0.0,0.0,1.0,27.0,5.62500296875,False,REGULAR,USD
2,TSLA230505P00040000,2023-04-10 19:27:43+00:00,40.0,0.01,0.0,0.01,0.0,0.0,2.0,12.0,4.7500040624999995,False,REGULAR,USD
3,TSLA230505P00050000,2023-04-26 16:05:30+00:00,50.0,0.01,0.0,0.01,0.0,0.0,2.0,43.0,3.93750015625,False,REGULAR,USD
4,TSLA230505P00060000,2023-04-26 19:52:36+00:00,60.0,0.01,0.0,0.01,0.0,0.0,41.0,155.0,3.3750015624999996,False,REGULAR,USD
5,TSLA230505P00070000,2023-05-01 17:04:08+00:00,70.0,0.01,0.0,0.01,0.0,0.0,1.0,280.0,2.8750028125,False,REGULAR,USD
6,TSLA230505P00080000,2023-04-28 13:30:43+00:00,80.0,0.01,0.0,0.01,0.0,0.0,97.0,2392.0,2.43750390625,False,REGULAR,USD
7,TSLA230505P00085000,2023-04-27 17:50:56+00:00,85.0,0.01,0.0,0.01,0.0,0.0,,38.0,2.2500043749999996,False,REGULAR,USD
8,TSLA230505P00090000,2023-05-02 14:17:28+00:00,90.0,0.01,0.0,0.01,0.0,0.0,2.0,1941.0,2.000005,False,REGULAR,USD
9,TSLA230505P00095000,2023-05-01 13:46:08+00:00,95.0,0.23,0.0,0.01,0.22,2200.0,10.0,981.0,1.875000625,False,REGULAR,USD
10,TSLA230505P00100000,2023-05-03 17:18:20+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,2556.0,1.6875015625,False,REGULAR,USD
11,TSLA230505P00105000,2023-05-01 15:14:42+00:00,105.0,0.01,0.0,0.01,0.0,0.0,192.0,1061.0,1.5000025,False,REGULAR,USD
12,TSLA230505P00110000,2023-05-02 19:59:02+00:00,110.0,0.01,0.0,0.02,0.0,0.0,300.0,1412.0,1.4375028125,False,REGULAR,USD
13,TSLA230505P00115000,2023-05-03 17:39:09+00:00,115.0,0.01,0.0,0.01,0.0,0.0,624.0,4626.0,1.21875390625,False,REGULAR,USD
14,TSLA230505P00116000,2023-05-03 18:28:55+00:00,116.0,0.01,0.0,0.02,0.0,0.0,277.0,439.0,1.2500037499999999,False,REGULAR,USD
15,TSLA230505P00117000,2023-05-03 18:28:32+00:00,117.0,0.01,0.0,0.02,0.0,0.0,52.0,287.0,1.21875390625,False,REGULAR,USD
16,TSLA230505P00118000,2023-05-03 19:38:45+00:00,118.0,0.01,0.0,0.03,0.0,0.0,34.0,462.0,1.2500037499999999,False,REGULAR,USD
17,TSLA230505P00119000,2023-05-03 17:57:49+00:00,119.0,0.01,0.0,0.02,0.0,0.0,27.0,684.0,1.171879140625,False,REGULAR,USD
18,TSLA230505P00120000,2023-05-03 19:48:53+00:00,120.0,0.01,0.0,0.01,0.0,0.0,563.0,3855.0,1.0625046875000002,False,REGULAR,USD
19,TSLA230505P00121000,2023-05-03 19:38:34+00:00,121.0,0.01,0.0,0.03,0.0,0.0,160.0,453.0,1.15625421875,False,REGULAR,USD
20,TSLA230505P00122000,2023-05-03 19:15:43+00:00,122.0,0.01,0.0,0.03,0.0,0.0,36.0,943.0,1.125004375,False,REGULAR,USD
21,TSLA230505P00123000,2023-05-03 19:49:27+00:00,123.0,0.01,0.0,0.03,0.0,0.0,113.0,658.0,1.09375453125,False,REGULAR,USD
22,TSLA230505P00124000,2023-05-03 19:17:44+00:00,124.0,0.01,0.0,0.03,0.0,0.0,77.0,588.0,1.0625046875000002,False,REGULAR,USD
23,TSLA230505P00125000,2023-05-03 19:53:28+00:00,125.0,0.02,0.01,0.03,0.0,0.0,92.0,4147.0,1.0625046875000002,False,REGULAR,USD
24,TSLA230505P00126000,2023-05-03 15:30:40+00:00,126.0,0.02,0.01,0.03,0.01,100.0,360.0,457.0,1.0312548437500002,False,REGULAR,USD
25,TSLA230505P00127000,2023-05-03 18:29:18+00:00,127.0,0.01,0.01,0.04,-0.01,-50.0,43.0,2068.0,1.0312548437500002,False,REGULAR,USD
26,TSLA230505P00128000,2023-05-03 17:06:54+00:00,128.0,0.01,0.01,0.02,-0.01,-50.0,28.0,1511.0,0.937500625,False,REGULAR,USD
27,TSLA230505P00129000,2023-05-03 15:46:02+00:00,129.0,0.02,0.01,0.04,0.0,0.0,92.0,1189.0,0.9687503125,False,REGULAR,USD
28,TSLA230505P00130000,2023-05-03 19:58:59+00:00,130.0,0.01,0.01,0.02,-0.01,-50.0,511.0,6906.0,0.8828136718749999,False,REGULAR,USD
29,TSLA230505P00131000,2023-05-03 19:43:58+00:00,131.0,0.01,0.01,0.04,-0.01,-50.0,259.0,1194.0,0.9062509375,False,REGULAR,USD
30,TSLA230505P00132000,2023-05-03 18:29:01+00:00,132.0,0.01,0.01,0.04,-0.02,-66.66667,62.0,1744.0,0.87500125,False,REGULAR,USD
